ND,DC,EC,LC,CC,BC,FR
" Chen Yj, 2018, ENERG BUILDINGS",0.00040966816878328555,1.220136080250359e-05,0.0013600231201138819,0.11723458924669213,0.0018162922912486632,0
" Gul M, 2018, ENERGIES",0.00020483408439164277,3.264736098016788e-16,0.0,0.05549303779482807,0.0,0
" Tan F, 2018, LIGHTING RES TECHNOL",0.00020483408439164277,1.8932158727903568e-08,0.0,0.09478323334692372,0.0,0
" Kim A, 2021, GLOBAL SENSITIVITY ",0.00020483408439164277,8.800447255136043e-12,0.0,0.07049310519096094,0.0,0
" Kleine Vg, 2019, J PHYS CONF SER",0.00020483408439164277,6.204859851192692e-06,0.0,0.10836126340088341,0.0,0
" Cashmore M, 2019, J ENVIRON PLANN MAN",0.00020483408439164277,0.04971149808135461,0.0,0.11326357794121059,0.0,0
"Ajtai N, 2020, ATMOSPHERE-BASEL",0.00020483408439164277,1.0189981394361861e-05,0.0,0.10426945174173982,0.0,0
" Graves A, 2013, INT CONF ACOUST SPEE",0.00020483408439164277,0.0003810757643651743,0.0,0.11382872065098278,0.0,0
" Sorensen Jn, 2002, J FLUID ENG-T ASME",0.0016386726751331422,0.00041170120088515134,0.07006850941236455,0.13299915547443267,0.07394181593540979,0
" Sebastiani A, 2022, DATA SIMULATIONS 5 W",0.00020483408439164277,0.00035725572126793736,0.0,0.10864098626966642,0.0,0
" Leimeister M, 2018, J PHYS CONF SER",0.00020483408439164277,5.738646770750497e-06,0.0,0.09589659981535681,0.0,0
" Manwell Jf, 2009, THEORY DESIGN APP",0.00020483408439164277,5.5657597949286435e-06,0.0,0.10225582807950903,0.0,0
" Deters Jk, 2017, J ELECTR COMPUT ENG",0.00020483408439164277,6.804623638881072e-10,0.0,0.09591167167639143,0.0,0
" Palmi P, 2020, OPEN REV MANAG BAN",0.00020483408439164277,5.1862071358098774e-11,0.0,0.08165108461139636,0.0,0
" Hwang Rl, 2011, BUILD ENVIRON",0.00020483408439164277,1.0377821200412728e-09,0.0,0.09967944137043919,0.0,0
" Lee Dhk, 1963, EVALUATION THERMAL ",0.00020483408439164277,1.7849695456984615e-11,0.0,0.0816784059159124,0.0,0
" Schubert M, 2020, OCEAN ENG",0.00020483408439164277,1.1049115238925728e-05,0.0,0.10558643510608387,0.0,0
" Lamb H, 1945, HYDRODYNAMICS",0.00040966816878328555,6.263250574219471e-06,0.1096000418313082,0.10974485781724176,0.1096000418313082,0
" Hansen Mh, 2013, E0028 TU DEN",0.00020483408439164277,3.6869410013570787e-09,0.0,0.0831927474737147,0.0,0
" Sharma P, 2017, IEEE INTERNET COMPUT",0.00020483408439164277,9.617744260874932e-12,0.0,0.08351437808987804,0.0,0
" Davies Jf, 1979, CAN J EARTH SCI",0.00040966816878328555,6.910280681241847e-07,7.666791963030143e-08,0.08658945389404232,7.855099134051936e-08,0
" Licari J, 2013, IEEE T SUSTAIN ENERG",0.00020483408439164277,3.6869410013570787e-09,0.0,0.0831927474737147,0.0,0
" Dai Q, 2018, BUILD ENVIRON",0.00020483408439164277,2.0242355927781093e-11,0.0,0.080732913297283,0.0,0
" Ritchie Mj, 2021, ENERG BUILDINGS",0.00040966816878328555,3.4995375936976036e-06,0.0010780756236644425,0.11644047988169914,0.0010342717432264426,0
" Perera Atd, 2020, NAT ENERGY",0.00020483408439164277,1.2515328795044264e-08,0.0,0.10552709508678641,0.0,0
" Gao Yj, 2022, SUSTAIN CITIES SOC",0.00020483408439164277,1.2515328795044264e-08,0.0,0.10552709508678641,0.0,0
" Tokarev M, 2020, ENERGIES",0.00020483408439164277,0.0003810757643651743,0.0,0.11382872065098278,0.0,0
" Battistella T, 2019, POSTER OFFSHORE WIN",0.00020483408439164277,1.3698329527176133e-09,0.0,0.07820835269051471,0.0,0
" Campbell R J, 2013, WEATHER RELATED POWE",0.00020483408439164277,1.2515328795044264e-08,0.0,0.10552709508678641,0.0,0
" Behera S, 2015, RENEW SUST ENERG REV",0.00020483408439164277,0.04971149808135461,0.0,0.11326357794121059,0.0,0
" Hitz-Gamper Bs, 2019, INT J PUBLIC SECT MA",0.00020483408439164277,2.597778270243503e-09,0.0,0.09305605855555343,0.0,0
" [Anonymous], 2019, 1679812019 EN CE",0.00020483408439164277,6.969472216500429e-11,0.0,0.0909446545332613,0.0,0
" Nichiforov C, 2017, INT SYMP ELECTR ELE",0.00020483408439164277,1.4994070256027432e-07,0.0,0.10884444741711814,0.0,0
" Ecoinvent, 2019, ECOINVEN",0.00020483408439164277,9.263701130465406e-08,0.0,0.09400573816263262,0.0,0
" Yi Yk, 2017, BUILD ENVIRON",0.00020483408439164277,1.1345059053813461e-07,0.0,0.11601435327107246,0.0,0
" Kim Jt, 2015, ENERG BUILDINGS",0.00020483408439164277,6.969472216500429e-11,0.0,0.0909446545332613,0.0,0
" V?Zquezd'Andrea Jm, 2020, THESIS ESCOLA TECNI",0.00020483408439164277,1.1128585221604126e-06,0.0,0.10468083281514677,0.0,0
" Sahebzadeh S, 2017, SUSTAINABILITY-BASEL",0.00040966816878328555,2.5779794686932233e-08,0.00015851953275739577,0.10111219269722263,0.0001548314854790377,0
" Pe~Na A, 2021, WIND ENERG SCI DISC",0.00020483408439164277,2.208474407136033e-05,0.0,0.10144415584415585,0.0,0
